Key	Mapping	Note	Physical Location	Additional Info
Tab	SHIFT+SPACE	Generated by Shift+Space	Right thumb, leftmost + Shift	
Delete (forward)	SHIFT+BACKSPACE	Generated by Shift+Backspace	Right thumb, middle + Shift	
Home	NAV+Backspace	Navigation	NAV layer	
End	NAV+Enter	Navigation	NAV layer	
Page Up	NAV+SHIFT+W	Navigation	NAV layer	
Page Down	NAV+SHIFT+S	Navigation	NAV layer	
Up	NAV+W	WASD navigation	NAV layer	
Down	NAV+S	WASD navigation	NAV layer	
Left	NAV+A	WASD navigation	NAV layer	
Right	NAV+D	WASD navigation	NAV layer	
F1	NAV+1	Function key	NAV layer	
F2	NAV+2	Function key	NAV layer	
F3	NAV+3	Function key	NAV layer	
F4	NAV+4	Function key	NAV layer	
F5	NAV+5	Function key	NAV layer	
F6	NAV+6	Function key	NAV layer	
F7	NAV+7	Function key	NAV layer	
F8	NAV+8	Function key	NAV layer	
F9	NAV+9	Function key	NAV layer	
F10	NAV+0	Function key	NAV layer	
F11	NAV+-	Function key	NAV layer	
F12	NAV+=	Function key	NAV layer	
\	NAV+/	Unix path separator	NAV layer	
|	NAV+I	Visual mnemonic	NAV layer	
]	NAV+[	Closing bracket	NAV layer	
}	NAV+SHIFT+[	Closing brace	NAV layer	
XF86AudioMute	NAV+0	Mute	NAV layer	
XF86AudioLowerVolume	NAV+-	Volume down	NAV layer	
XF86AudioRaiseVolume	NAV+=	Volume up	NAV layer	
XF86MonBrightnessDown	SYS+-	Brightness down	NAV layer	Host-dependent
XF86MonBrightnessUp	SYS+=	Brightness up	NAV layer	Host-dependent
XF86PowerOff	SYS+HOLD+P	Power off (hold)	SYS layer	
XF86Sleep	SYS+HOLD+S	Sleep (hold)	SYS layer	
XF86WakeUp	SYS+W	Wake	SYS layer	
XF86Back	NAV+B	Browser/application back	NAV layer	
XF86Forward	NAV+F	Browser/application forward	NAV layer	
XF86Reload	NAV+R	Browser/application reload	NAV layer	
Print Screen	Unused		—	
Scroll Lock	Unused		—	
Pause	Unused		—	
Break	Unused		—	
Insert	Unused		—	
Menu	Unused		—	
Num Lock	Unused		—	
NumPad Divide	Unused		—	
NumPad Multiply	Unused		—	
NumPad Subtract	Unused		—	
NumPad Add	Unused		—	
NumPad Decimal	Unused		—	
NumPad Enter	Unused		—	
NumPad 0	NUM layer	Redundant number pad	NUM layer	Mirrors physical number row
NumPad 1	NUM layer	Redundant number pad	NUM layer	Mirrors physical number row
NumPad 2	NUM layer	Redundant number pad	NUM layer	Mirrors physical number row
NumPad 3	NUM layer	Redundant number pad	NUM layer	Mirrors physical number row
NumPad 4	NUM layer	Redundant number pad	NUM layer	Mirrors physical number row
NumPad 5	NUM layer	Redundant number pad	NUM layer	Mirrors physical number row
NumPad 6	NUM layer	Redundant number pad	NUM layer	Mirrors physical number row
NumPad 7	NUM layer	Redundant number pad	NUM layer	Mirrors physical number row
NumPad 8	NUM layer	Redundant number pad	NUM layer	Mirrors physical number row
NumPad 9	NUM layer	Redundant number pad	NUM layer	Mirrors physical number row
XF86AudioPlay	Unused		—	
XF86AudioPause	Unused		—	
XF86AudioStop	Unused		—	
XF86AudioPrev	Unused		—	
XF86AudioNext	Unused		—	
XF86AudioMedia	Unused		—	
XF86AudioMicMute	Not assigned		—	
XF86HomePage	Unused		—	
XF86Mail	Unused		—	
XF86Search	Unused		—	
XF86Calculator	Unused		—	
XF86WWW	Unused		—	
XF86Stop	Unused		—	
XF86Favorites	Unused		—	
XF86Copy	Unused		—	
XF86Cut	Unused		—	
XF86Paste	Unused		—	
