Key,Mapping,Note,Physical Location
V,"V",,R4C5
B,"B",,R4C6
N,"N",,R4C7
M,"M",,R4C8
,,",","Physical key.",R4C9
<,"SHIFT+,","Shifted variant of ,.",R4C9
.,".","Physical key.",R4C10
>,"SHIFT+.","Shifted variant of .",R4C10
/,"/","Physical key. On NAV layer: backslash.","R4C11"
?,"SHIFT+/","Shifted variant of /.",R4C11
Ctrl,"CTRL","Left thumb cluster, leftmost.","Left thumb, leftmost"
Super,"SUPER","Left thumb cluster, middle.","Left thumb, middle"
Fn,"HOLD: NAV; DOUBLE-TAP: NUM; Fn+Ctrl: Toggle NAV; Fn+Super: SYS","Left thumb cluster, rightmost.","Left thumb, rightmost"
Fn (redundant),"HOLD: NAV; DOUBLE-TAP: NUM; Fn+Ctrl: Toggle NAV; Fn+Super: SYS","Redundant Fn for right‑hand one‑handed layer access.","R4C12"
Space,"TAP: Space; SHIFT: Tab","Right thumb cluster, leftmost (1.75u). On NAV layer: transparent (remains Space).","Right thumb, leftmost"
Backspace,"TAP: Backspace; SHIFT: Delete (forward)","Right thumb cluster, middle. On NAV layer: Home.","Right thumb, middle"
Enter,"ENTER","Right thumb cluster, rightmost. Keycap legend: End. On NAV layer: End.","Right thumb, rightmost"
Left Alt,"Not on base layer.","Available via layer if needed later.","—"
Right Alt,"Not used.",,"—"
Right Shift,"Not used.",,"—"
Right Ctrl,"Not used.",,"—"
Caps Lock,"Integrated into Shift double-tap.","No dedicated key.","—"
Tab,"SHIFT+SPACE","Generated by Shift+Space.","Right thumb, leftmost + Shift"
Delete (forward),"SHIFT+BACKSPACE","Generated by Shift+Backspace.","Right thumb, middle + Shift"
Home,"NAV+Backspace","On NAV layer.","NAV layer"
End,"NAV+Enter","On NAV layer.","NAV layer"
Page Up,"NAV+SHIFT+W","On NAV layer.","NAV layer"
Page Down,"NAV+SHIFT+S","On NAV layer.","NAV layer"
Up,"NAV+W","WASD navigation.","NAV layer"
Down,"NAV+S","WASD navigation.","NAV layer"
Left,"NAV+A","WASD navigation.","NAV layer"
Right,"NAV+D","WASD navigation.","NAV layer"
F1,"NAV+1","Top row function key.","NAV layer"
F2,"NAV+2","Top row function key.","NAV layer"
F3,"NAV+3","Top row function key.","NAV layer"
F4,"NAV+4","Top row function key.","NAV layer"
F5,"NAV+5","Top row function key.","NAV layer"
F6,"NAV+6","Top row function key.","NAV layer"
F7,"NAV+7","Top row function key.","NAV layer"
F8,"NAV+8","Top row function key.","NAV layer"
F9,"NAV+9","Top row function key.","NAV layer"
F10,"NAV+0","Top row function key.","NAV layer"
F11,"NAV+-","Top row function key.","NAV layer"
F12,"NAV+=","Top row function key.","NAV layer"
\,"NAV+/","Unix path separator.","NAV layer"
|,"NAV+I","Visual mnemonic.","NAV layer"
],"NAV+[","Closing bracket.","NAV layer"
},"NAV+SHIFT+[","Closing brace.","NAV layer"
XF86AudioMute,"NAV+0","Mute.","NAV layer"
XF86AudioLowerVolume,"NAV+-","Volume down.","NAV layer"
XF86AudioRaiseVolume,"NAV+=","Volume up.","NAV layer"
XF86MonBrightnessDown,"SYS+-","Brightness down (host-dependent).","SYS layer"
XF86MonBrightnessUp,"SYS+=","Brightness up (host-dependent).","SYS layer"
XF86PowerOff,"SYS+HOLD+P","Power off (hold).","SYS layer"
XF86Sleep,"SYS+HOLD+S","Sleep (hold).","SYS layer"
XF86WakeUp,"SYS+W","Wake.","SYS layer"
XF86Back,"NAV+B","Browser/application back.","NAV layer"
XF86Forward,"NAV+F","Browser/application forward.","NAV layer"
XF86Reload,"NAV+R","Browser/application reload.","NAV layer"
Print Screen,"Unused",,"—"
Scroll Lock,"Unused",,"—"
Pause,"Unused",,"—"
Break,"Unused",,"—"
Insert,"Unused",,"—"
Menu,"Unused",,"—"
Num Lock,"Unused",,"—"
NumPad Divide,"Unused",,"—"
NumPad Multiply,"Unused",,"—"
NumPad Subtract,"Unused",,"—"
NumPad Add,"Unused",,"—"
NumPad Decimal,"Unused",,"—"
NumPad Enter,"Unused",,"—"
NumPad 0,"NUM layer mirrors top row","Redundant number pad on NUM layer.","NUM layer"
NumPad 1,"NUM layer mirrors top row","Redundant number pad on NUM layer.","NUM layer"
NumPad 2,"NUM layer mirrors top row","Redundant number pad on NUM layer.","NUM layer"
NumPad 3,"NUM layer mirrors top row","Redundant number pad on NUM layer.","NUM layer"
NumPad 4,"NUM layer mirrors top row","Redundant number pad on NUM layer.","NUM layer"
NumPad 5,"NUM layer mirrors top row","Redundant number pad on NUM layer.","NUM layer"
NumPad 6,"NUM layer mirrors top row","Redundant number pad on NUM layer.","NUM layer"
NumPad 7,"NUM layer mirrors top row","Redundant number pad on NUM layer.","NUM layer"
NumPad 8,"NUM layer mirrors top row","Redundant number pad on NUM layer.","NUM layer"
NumPad 9,"NUM layer mirrors top row","Redundant number pad on NUM layer.","NUM layer"
XF86AudioPlay,"Unused",,"—"
XF86AudioPause,"Unused",,"—"
XF86AudioStop,"Unused",,"—"
XF86AudioPrev,"Unused",,"—"
XF86AudioNext,"Unused",,"—"
XF86AudioMedia,"Unused",,"—"
XF86AudioMicMute,"Not assigned",,"—"
XF86HomePage,"Unused",,"—"
XF86Mail,"Unused",,"—"
XF86Search,"Unused",,"—"
XF86Calculator,"Unused",,"—"
XF86WWW,"Unused",,"—"
XF86Stop,"Unused",,"—"
XF86Favorites,"Unused",,"—"
XF86Copy,"Unused",,"—"
XF86Cut,"Unused",,"—"
XF86Paste,"Unused",,"—"
